stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"320475984","TUCSON HEV","NX4.V4 TUCSON ELITE 1.6T HEV 2WD","","ECOTRONIC GREY","DAHY","","44636.37","","62","","IN-STOCK","N"
"320478459","TUCSON HEV","NX4.V4 TUCSON ELITE 1.6T HEV AWD","","AMAZON GRAY","DAHY","","46909.09","","62","","IN-STOCK","N"
"320478517","TUCSON HEV","NX4.V4 TUCSON PRM 1.6T HEV AWD","","PHANTOM BLACK","DAHY","","53995.45","","62","","IN-STOCK","N"
"320478530","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","PHANTOM BLACK","DAHY","","55090.91","","62","","IN-STOCK","N"
"320478532","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","PHANTOM BLACK","DAHY","","55090.91","","62","","IN-STOCK","N"
"320477634","PALISADE","LX3.V2 PALISADE 8S CAL BLK 2.5T HEV AT","","ABYSS BLACK","DAHY","","82731.31","","62","DH17847","DEAL PEND","Y"
"320476939","TUCSON HEV","NX4.V4 TUCSON ELITE 1.6T HEV 2WD","","AMAZON GRAY","DAHY","","44636.37","","62","DH17852","DEAL PEND","N"
"320476992","TUCSON HEV","NX4.V4 TUCSON ELITE 1.6T HEV AWD","","ECOTRONIC GREY","DAHY","","47471.62","","62","","DEMO","N"
"320478534","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","PHANTOM BLACK","DAHY","","55090.91","","59","","IN-STOCK","N"
"320475527","ELEXIO","OE1.V1 ELEXIO 2WD 88KWH","","CRYSTAL WHITE","DAHY","","53627.27","","58","","IN-STOCK","N"
"320475406","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","DRAGON RED","DAHY","","57692.05","","58","","IN-STOCK","N"
"320478295","I30 SEDAN","CN7.V4 I30 SEDAN N LINE 1.6P DCT","","ATLAS WHITE","DAHY","","33636.36","","55","","DEMO","N"
"320474786","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","MIRAGE GREEN","DAHY","","33590.91","","51","","STOCK SWAP","N"
"320469652","I30","PDE.V6 I30 N HATCH PREM S.ROOF 2.0P DCT","","ECOTRONIC GREY","DAHY","","52813.64","","44","","IN-STOCK","N"
"320465593","VENUE","QX.V5 VENUE ACTIVE 1.6P AUTO","","ATLAS WHITE","DAHY","","26035.09","","44","DH17730","DEAL PEND","Y"
"320475622","STARIA","US4.V4 STARIA LOAD HEV 2S 1.6T LBACK AT","","CREAMY WHITE","DAHY","","48627.27","","43","","IN-STOCK","N"
"320480852","TUCSON HEV","NX4.V4 TUCSON ELITE N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","48903.05","","34","","IN-STOCK","N"
"320480869","TUCSON HEV","NX4.V4 TUCSON ELITE N LINE 1.6T HEV 2WD","","WHITE CREAM","DAHY","","46630.32","","34","","STOCK SWAP","N"
"320478195","I30 SEDAN HEV","CN7.V4 I30 SEDAN HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","30768.18","","31","","IN-STOCK","N"
"320480612","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","ATLAS WHITE","DAHY","","33993.96","","31","","STOCK SWAP","N"
"320479349","KONA HEV","SX2.V3 KONA HEV ELITE 1.6P DCT","","ECOTRONIC GREY","DAHY","","36859.09","","31","","STOCK SWAP","N"
"320480585","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","34742.92","","31","DH17823","DEAL PEND","N"
"320480587","KONA HEV","SX2.V3 KONA HEV 1.6P DCT","","ECOTRONIC GREY","DAHY","","35121.92","","31","DH17840","DEAL PEND","N"
"320480924","TUCSON HEV","NX4.V4 TUCSON PRM 1.6T HEV AWD","","WHITE CREAM","DAHY","","54110.47","","30","DH17798","DEAL PEND","N"
"320480455","STARIA","US4.V4 STARIA HEV 7S LOUNGE 1.6T AUTO","","ABYSS BLACK","DAHY","","67718.18","","29","","IN-STOCK","N"
"320479874","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","WHITE CREAM","DAHY","","38954.55","","29","","IN-STOCK","N"
"320481144","TUCSON HEV","NX4.V4 TUCSON ELITE N LINE 1.6T HEV 2WD","","ECOTRONIC GREY","DAHY","","46909.09","","29","","IN-STOCK","N"
"320479996","STARIA","US4.V4 STARIA LOAD 2S 2.2D TSWING AUTO","","CREAMY WHITE","DAHY","","48623.95","","29","DH17803","DEAL PEND","N"
"320478799","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","WHITE CREAM","DAHY","","38954.55","","24","","IN-STOCK","N"
"320472745","SANTA FE HEV","MX5.V2 S.FE HEV 7S CAL BLK 1.6T AWD AUTO","","ECOTRONIC GREY","DAHY","","74757.18","","24","DH17812","DEAL PEND","N"
"320478798","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","WHITE CREAM","DAHY","","38954.55","","23","","IN-STOCK","N"
"320479873","TUCSON HEV","NX4.V4 TUCSON 1.6T HEV 2WD","","WHITE CREAM","DAHY","","38954.55","","23","","IN-STOCK","N"
"320474691","KONA HEV","SX2.V3 KONA HEV PRM N LINE SRF 1.6P DCT","","ATLAS WHITE","DAHY","","44876.87","","22","","IN-STOCK","Y"
